#dryL,dryU,rainL,rainU,rain
210,256,27,33,0.019991999999999992
64,78,21,25,0.0434608695652174
1376,1682,50,61,0.029085818181818202
168,206,23,29,0.030779999999999974
203,249,208,254,0.010388311688311743
3832,4684,150,184,0.005998922155688631
147,179,978,1196,0.035325262189512235
71,87,178,218,0.041418484848484816
673,823,273,333,0.022441188118811902
1463,1789,39,47,0.018591627906976736
112,136,77,95,0.0069565116279069715
598,732,4,4,0.19998
2141,2617,149,183,0.04216626506024087
2310,2824,32,38,0.028578857142857142
115,141,8,10,0.044459999999999986
86,105,121,147,0.020881791044776197
7421,9071,0,0,0
1440,1440,1440,1440,0
